target;quantidade
eduardo_rieadua;2
Eduardo12454204;2
emicimanin;2
EngRubroNegro;2
entreaspasfut;2
EstebannSanchez;2
evelinprotasio;2
felice_stein;2
Felipe_coutin11;2
FFERJ;2
Flamengo__CRF;2
flamengo_forte;2
FlamengoFlarj;2
flanacaovvp;2
FlatvOficial;2
fogaonet;2
fras4sdopoze;2
FutdoBR;2
GabrielAbreuda1;2
geverdao;2
giaco_iaco;2
goal;2
Guilage;2
gustavozupak;2
HENRIQUEALBERT5;2
HoraDoFlamengo;2
idaocaquinocruz;2
Igor8oliver;2
iloovebitching;2
Ingressodofla;2
irenemhpalma;2
j_lucas32;2
Jennyavelinols_;2
Jhonats51;2
jhoneycr15;2
joaovictorvill3;2
joshbeauchamp;2
kikabellasunhas;2
Leobarbosaofici;2
leozimcrf;2
leticiafaustr;2
LFCBrasil;2
Lico43608050;2
lucasvon;2
luizinfilipin;2
LuizinhoMENGOOO;2
MailSport;2
manoella_sousa;2
MarceloCourrege;2
MarcosN26438105;2
Mariomirca83;2
maucrf1895;2
Mengaoslz;2
Michaugusto;2
mrcaio;2
MtsRodrygues;2
Mul4mb0;2
muraj98;2
murtamateuss;2
mylenaperoni;2
Ninhodanacao;2
OCantoOficial;2
ofutmundo;2
OGuiadoFutebol;2
omarceloalmeida;2
OmarMuruaOK;2
ornxllxs_LF;2
otanianareal;2
othiagorosa;2
pamspfc1;2
PatriciaKogut;2
Paulinha1895;2
PedradaRN;2
pelota_tata;2
PeresPaulinha;2
peumnzscrf;2
pierdrer;2
pmoreno90;2
Poder360;2
portalMSN;2
rachidcrf;2
Recibo_CRF;2
Record_Portugal;2
reliquiasbr;2
renanmouraglobo;2
ricapancita;2
RizzoNacao;2
rodrigocapelo;2
rodrigonegao1;2
rubensburlamaqu;2
SacCruzeiro_;2
scoralickfla;2
serginhomiguel_;2
sigaomonitor;2
statsCAP;2
superiludidoo;2
sxavierfilho;2
thiagoc26667690;2
UniaoFla10;2
VarskySports;2
visaomercado;2
vocesefoii;2
Wallace07sp;2
William64130598;2
wtfleti;2
YihadAtletica;2
zeknust;2
ZestorvaoBorges;2
_amandaalvs_;1
_Anna_ferrari_;1
_BCostinha13_;1
_crfgb81;1
_Dayy;1
_dudapoeys;1
_edusampaio_;1
_FelipeAlves14;1
_FlaRaiz;1
_Gatrick;1
_LCVO_;1
_leoozorio;1
_mariftx;1
_meteficha;1
_moreiradaniel;1
_pauljoyce;1
_thiagofranklin;1
_viviancs;1
_wllcrf_;1
08Gerson08;1
19Will10;1
1Nedicr56;1
26_dione;1
aafsouzanit;1
aassibarreto;1
